6.11:00000, 00100, 00000:00000, 00100, 00100:Ceres Elevator
29.53:00000, 01100, 11000:10100, 11100, 00000:Double Chamber
10.19:10100, 11000, 00000:01000, 11000, 00000:
10.30:01000, 11100, 00000:00111, 01111, 11000:
4.79:00011, 10111, 11100:10111, 11100, 11100:
15.10:11011, 01110, 01110:00000, 00110, 11111:Bubble Mountain
2.80:00000, 00111, 11111:00000, 00111, 11111:
4.89:00000, 00111, 11111:00000, 10111, 11110:
3.20:00000, 11111, 01111:00000, 11111, 01111:
7.30:00000, 11011, 01111:00111, 00110, 00100:
4.67:00011, 00111, 00010:00000, 00111, 00000:
3.60:00000, 00111, 00000:00000, 00111, 00000:
8.00:00000, 00111, 00000:01111, 01100, 00000:
9.60:11111, 11100, 00000:11111, 11100, 00000:
9.79:11111, 11000, 00000:00000, 00111, 00111:
6.90:00000, 01111, 01110:00000, 11111, 11100:
4.99:00000, 11111, 11000:00011, 11111, 00010:
11.11:00111, 11110, 00100:00000, 00000, 00000:
3.90:00000, 00011, 00111:00011, 00111, 00000:
3.40:00000, 11100, 00000:00000, 11100, 00000:
1.87:00000, 11000, 00000:00000, 01110, 00000:
1.40:00000, 00111, 00000:00000, 00111, 00000:
3.90:00000, 00011, 00000:00000, 11110, 00111:
4.30:00000, 11111, 10011:00000, 01111, 01001:
26.80:00000, 00111, 00100:00100, 00000, 00000:
16.60:00100, 00100, 00000:00000, 11100, 00000:
5.72:00000, 11100, 00000:00000, 00100, 00100:
17.02:00000, 00110, 00010:00000, 01110, 00010:
23.20:00000, 11100, 00100:00000, 00000, 00000:
6.39:00000, 00100, 00000:00000, 00000, 00000:
19.80:00000, 00100, 00000:01000, 11100, 00000:
11.30:10000, 11100, 00000:00000, 11100, 00000:
8.62:00000, 11100, 00000:00000, 11100, 00000:
4.00:00000, 00100, 00000:00000, 11100, 00000:
18.30:00000, 11100, 00000:00000, 00100, 00100:
12.00:00000, 01100, 01000:00000, 11100, 10000:
98.31:00000, 00000, 00000:00000, 00000, 00000:
8.01:00000, 11110, 10000:00000, 00111, 00100:
7.79:00111, 00100, 00100:00100, 00100, 00100:
11.70:00010, 00110, 00010:00010, 00110, 00010:
20.52:00100, 01100, 00100:00100, 00000, 00000:
28.40:00100, 00100, 00000:00000, 00111, 00000:Attic
15.19:00000, 00100, 00000:00000, 01100, 00111:
9.01:00000, 11100, 01111:00000, 11100, 11111:
2.09:00000, 11100, 11111:00000, 11100, 11111:
42.99:00000, 00100, 00000:00011, 00100, 01111:
11.81:00001, 00110, 00111:00001, 00110, 00111:
8.71:11111, 00100, 11100:00001, 11111, 00000:
6.10:00000, 11111, 00000:10100, 11111, 00000:
10.50:01010, 11111, 00000:00100, 00100, 00101:
3.80:00000, 00100, 00100:00000, 00100, 00100:
17.18:00000, 00000, 00000:00100, 11100, 00100:
7.12:00010, 11110, 00010:01000, 01111, 00000:
14.73:00100, 00111, 00000:00000, 00111, 00100:
6.19:00000, 00111, 00010:00000, 00111, 00010:
2.20:00000, 01111, 00100:00000, 01111, 00100:
5.07:00000, 11111, 01001:00000, 11111, 10011:
7.80:00000, 11110, 00111:00000, 11100, 01110:
2.18:00000, 00111, 00000:00000, 00111, 00000:
8.69:00000, 00011, 00000:01110, 00100, 00000:
5.02:00100, 00100, 00000:01000, 01100, 00000:
15.29:10000, 11100, 00000:00100, 00100, 00000:
7.41:00100, 00100, 00000:01100, 00100, 00000:
5.29:01100, 00000, 00000:00000, 11100, 11000:
11.11:00000, 11100, 10000:11110, 10110, 00000:
13.81:10110, 00100, 00000:10000, 11100, 00000:
24.69:00000, 11100, 00000:00000, 11100, 00000:
44.60:00000, 11100, 00000:00000, 11000, 00000:
4.00:00000, 11100, 00000:00100, 00100, 00000:
30.19:00100, 00000, 00000:00000, 11100, 11100:
5.60:00000, 11100, 11000:00000, 00100, 00100:
25.10:00000, 00000, 00000:00000, 00000, 00000:
2.29:00000, 00000, 00000:00000, 00000, 00000:
18.10:00000, 00000, 00000:00000, 00000, 00000:
9.11:00000, 00000, 00000:00000, 00000, 00000:
7.19:00000, 00000, 00000:00000, 00000, 00000:
22.20:00000, 00000, 00000:00000, 00000, 00000:
10.40:00000, 00111, 00011:00000, 00111, 00011:
4.60:00000, 01110, 00111:11100, 01110, 00010:
5.02:11000, 11100, 00100:00100, 11100, 11000:
19.40:00010, 11110, 11100:01111, 01111, 00000:
3.19:00111, 00111, 00000:11100, 00111, 00111:
16.20:11110, 00111, 00011:00111, 00100, 00000:
5.00:00011, 00110, 00000:11111, 00111, 00110:
3.30:11111, 00111, 00011:11111, 00111, 00011:
21.68:11111, 00111, 00001:00100, 00100, 00000:
9.91:01000, 01100, 00000:00100, 00100, 00000:
2.80:00100, 00000, 00000:01000, 01100, 00000:
25.29:10000, 11100, 00000:10110, 11110, 00000:
2.88:01011, 01111, 00000:01011, 01011, 00000:
5.20:01011, 01111, 00000:01000, 01100, 00101:
11.23:00100, 00110, 00010:00001, 00111, 00011:
5.02:00001, 00001, 00111:00000, 00000, 00000:
6.60:00000, 00100, 00000:00000, 00100, 00100:
10.30:00000, 00000, 00100:00000, 00111, 00000:
1.80:00000, 00111, 00000:00000, 00111, 00000:
5.50:00000, 00111, 00000:00000, 00100, 00111:
9.59:00000, 00110, 00011:00000, 11100, 01111:
3.19:00011, 00111, 00000:00011, 00111, 00000:
15.19:00000, 00000, 00000:10000, 11111, 00111:
3.39:00000, 11111, 01111:00000, 11111, 01111:
4.89:00000, 11111, 11110:00000, 11111, 11111:
2.29:00000, 11111, 11111:00000, 11111, 11111:
2.49:00000, 11110, 11111:00000, 11110, 11111:
6.00:00000, 00100, 11110:00000, 00100, 00100:
7.22:00000, 01100, 01000:00000, 11100, 00000:
8.28:00000, 11100, 00000:00000, 00100, 00100:
11.81:00000, 00110, 00010:00011, 00110, 00000:
3.70:00001, 00111, 00000:00001, 00111, 00000:
13.42:00001, 00011, 00000:00000, 11000, 00000:
8.10:00000, 11100, 00000:00000, 00100, 11100:
15.60:00000, 01100, 11000:00000, 11100, 00000:
30.51:00000, 11100, 00000:00100, 00100, 00000:
15.50:01000, 01100, 00000:01000, 01100, 00000:
22.72:01000, 01000, 00000:00000, 11100, 10000:
23.52:00000, 00100, 11100:00000, 00100, 00100:
19.90:00000, 00110, 00010:00000, 00111, 00000:
20.60:00000, 00111, 00000:00000, 00111, 00000:
10.61:00000, 00111, 00000:00000, 00111, 00000:
67.31:00000, 00000, 00000:00000, 00000, 00000:
10.80:00000, 00110, 00011:00000, 00110, 00011:
5.29:00000, 01100, 00111:01100, 00111, 00000:
8.29:11000, 01111, 00000:00000, 11111, 00000:
5.61:00000, 11111, 00000:00000, 11111, 00000:
4.38:00000, 11111, 00001:00000, 11110, 00010:
21.60:00000, 11100, 00100:00000, 11100, 11100:
24.59:11100, 11100, 10000:10100, 11100, 00000:
12.11:01000, 11100, 00000:00010, 00110, 00000:
7.29:00001, 00111, 00000:00111, 00100, 00000:
17.01:00011, 00110, 00000:11100, 00100, 00111:
21.90:11110, 00110, 00011:11111, 11111, 11100:
12.01:11111, 01111, 01110:00100, 11110, 11111:
2.80:00010, 11111, 11111:00001, 11111, 11111:
4.80:00000, 11111, 11111:00000, 11111, 11110:
3.20:00000, 11111, 01111:00000, 11111, 01111:
16.98:10000, 11111, 00111:00000, 00000, 00000:
3.90:00000, 00011, 00111:00011, 00111, 00000:
1.90:00000, 11100, 01111:00000, 11100, 01111:
5.00:00000, 01110, 00111:01110, 00111, 00100:
4.49:00111, 00100, 00111:01000, 01110, 00010:
5.28:10000, 11100, 00100:00100, 00100, 00111:
7.19:00100, 00111, 00001:00101, 00100, 00000:
19.20:00100, 00100, 00000:00001, 00111, 00000:
15.79:10000, 10100, 10000:00000, 00000, 00000:
4.19:00000, 00100, 00100:00000, 00100, 00100:
7.49:00100, 00100, 00101:00010, 00111, 00000:
1.71:00001, 00111, 00000:00001, 00111, 00000:
4.94:00000, 00111, 00000:10000, 11111, 00000:
6.69:01000, 11111, 00000:00010, 11111, 00000:
4.61:10001, 01111, 00000:01000, 01110, 00000:
9.81:00100, 00111, 00000:00000, 11100, 00100:
5.50:00000, 11100, 01000:00000, 11100, 00000:
51.29:00001, 11101, 00001:00001, 00001, 11101:
12.19:00001, 00101, 11101:11100, 11110, 00100:
16.40:11110, 11111, 00010:01111, 01111, 00000:
9.40:00111, 00111, 00000:00000, 00111, 00111:
12.41:00000, 01111, 01111:00010, 11110, 11111:
13.80:00100, 11100, 11110:11100, 00100, 11100:
5.30:00000, 11100, 00100:10000, 11110, 00010:
3.60:11000, 11111, 00001:11100, 11111, 00000:
40.88:11110, 11111, 00000:11111, 01111, 00000:
7.80:01111, 00111, 00000:00000, 01111, 00111:
10.70:00000, 00111, 00011:00000, 00111, 00011:
2.92:00000, 01111, 00111:00000, 01111, 00111:
9.80:00000, 11111, 01111:00110, 11110, 11111:
4.00:01100, 11100, 11111:00000, 11100, 01100:
11.69:00000, 11110, 00110:00000, 11110, 00110:
2.10:00000, 11100, 01100:00000, 11100, 01100:
13.18:00000, 11110, 00110:00000, 11110, 00110:
2.00:00000, 11100, 01100:00000, 11100, 01100:
12.41:00000, 11110, 00110:00000, 11110, 00110:
1.90:00000, 11100, 01100:00000, 11100, 01100:
229.90:00000, 11110, 00110:00000, 00000, 00000:
7.01:00000, 00111, 00000:00000, 00111, 00000:
3.11:00000, 00100, 00111:00000, 00100, 00100:
8.09:00000, 01100, 01000:11100, 00100, 11100:
30.10:11000, 01100, 11000:11000, 11100, 11100:
8.69:00000, 00111, 00010:00100, 10100, 10100:
17.01:10100, 10100, 00100:01000, 11111, 00000:
